Player,Club,Market Value (M),Archetype,Cluster,PC1,PC2,Switches,Tackles,Interceptions,Errors,Assists,Touches
Leny Yoro,Manchester United,55.0,Cluster 0,0,-1.8858153455691962,-0.3342934639193703,1.0,29.0,18.0,0.0,0.0,894.0
Sven Botman,Newcastle United,45.0,Cluster 0,0,-3.039793321499182,-0.14523239097492752,2.0,12.0,5.0,1.0,0.0,304.0
Giorgio Scalvini,Atalanta,40.0,Cluster 0,0,-3.501554540334574,0.16250808353064747,2.0,8.0,4.0,0.0,0.0,228.0
Milan Škriniar,Fenerbahçe,39.44827586206897,Cluster 0,0,-3.437551087120415,0.1753266574775433,2.0,7.0,3.0,0.0,0.0,417.0
Stefan de Vrij,Internazionale,39.44827586206897,Cluster 0,0,-1.4611457229279476,-0.3785771076038681,3.0,18.0,23.0,0.0,0.0,1613.0
John Stones,Manchester City,35.0,Cluster 0,0,-3.115190874226191,-0.05440852575862645,3.0,6.0,4.0,1.0,0.0,442.0
Benoît Badiashile,Chelsea,28.0,Cluster 0,0,-2.9482497209367344,-0.5351135097951211,1.0,9.0,6.0,2.0,0.0,336.0
Matthijs de Ligt,Bayern Munich,75.0,Cluster 1,1,-2.4803275013610377e-17,4.5902816352989115e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Rúben Dias,Manchester City,65.0,Cluster 1,1,0.5096408654407775,-0.9221157568553081,10.0,17.0,20.0,4.0,0.0,2499.0
Alessandro Bastoni,Inter Milan,60.0,Cluster 1,1,-6.098280641888318e-16,9.620926795044588e-16,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Gabriel Magalhães,Arsenal,60.0,Cluster 1,1,-0.13716598136815705,0.35716297480550263,8.0,25.0,16.0,2.0,1.0,1873.0
Cristian Romero,Tottenham Hotspur,55.0,Cluster 1,1,-0.6894355600947489,-0.9249608070150501,2.0,35.0,21.0,2.0,0.0,1377.0
Jules Koundé,Barcelona,55.0,Cluster 1,1,2.702181240662201,2.065454519976476,13.0,63.0,20.0,2.0,3.0,2453.0
Éder Militão,Real Madrid,50.0,Cluster 1,1,-1.1204628330546254,1.648863141877091,15.0,19.0,12.0,0.0,1.0,819.0
Antonio Silva,Benfica,45.0,Cluster 1,1,-9.972985285956176e-17,3.4825386924435616e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Marquinhos,Paris Saint-Germain,45.0,Cluster 1,1,-0.3308458328456193,0.726274859987045,13.0,30.0,11.0,0.0,0.0,1990.0
Alessandro Bastoni,Internazionale,39.44827586206897,Cluster 1,1,3.129908870431527,4.4151075852132635,22.0,46.0,22.0,1.0,5.0,2446.0
Alessandro Buongiorno,Napoli,39.44827586206897,Cluster 1,1,-0.010306660376947701,-1.3177151118977732,2.0,39.0,35.0,2.0,0.0,1489.0
António Silva,Benfica,39.44827586206897,Cluster 1,1,0.8791171725686212,1.3315428191535437,13.0,35.0,22.0,2.0,2.0,1591.0
Kalidou Koulibaly,Al-Hilal,39.44827586206897,Cluster 1,1,0.6542082529131784,-0.8258745605412084,8.538461538461538,39.0,35.0,2.0384615384615383,0.0,1668.0384615384614
Malick Thiaw,Newcastle United,39.44827586206897,Cluster 1,1,-1.1547771084681828,-0.17924537225164983,6.0,24.0,15.0,1.0,0.0,1432.0
Manuel Akanji,Internazionale,39.44827586206897,Cluster 1,1,-0.43614492990977594,-0.2914265655054049,10.0,19.0,9.0,3.0,0.0,1881.0
Matthijs de Ligt,Manchester United,39.44827586206897,Cluster 1,1,-0.21278259426736137,-0.17102103230515903,9.0,30.0,33.0,0.0,0.0,1608.0
Pau Torres,Aston Villa,39.44827586206897,Cluster 1,1,-0.6522424410152139,0.14543454840661815,12.0,21.0,10.0,2.0,0.0,1518.0
Pau Cubarsí,Barcelona,35.0,Cluster 1,1,1.036993076167863,1.9281645715514868,7.0,34.0,16.0,1.0,3.0,2805.0
Milan Škriniar,Paris Saint-Germain,30.0,Cluster 1,1,-2.4803275013610377e-17,4.5902816352989115e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Pau Torres,Villarreal,30.0,Cluster 1,1,-2.4803275013610377e-17,4.5902816352989115e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Jarrad Branthwaite,Everton,28.0,Cluster 1,1,1.5609203148830477,0.2422283693588213,17.0,36.0,27.0,4.0,1.0,1520.0
Malick Thiaw,AC Milan,22.0,Cluster 1,1,-2.4803275013610377e-17,4.5902816352989115e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Manuel Akanji,Manchester City,20.0,Cluster 1,1,-2.4803275013610377e-17,4.5902816352989115e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Josip Šutalo,Napoli,18.0,Cluster 1,1,-2.4803275013610377e-17,4.5902816352989115e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Kalidou Koulibaly,Al Hilal,12.0,Cluster 1,1,-2.4803275013610377e-17,4.5902816352989115e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Alessandro Buongiorno,Torino,10.0,Cluster 1,1,-1.0790913442333982e-17,1.3830475852685939e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Raphaël Varane,Manchester United,10.0,Cluster 1,1,-2.4803275013610377e-17,4.5902816352989115e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Stefan de Vrij,Inter Milan,8.0,Cluster 1,1,-2.4803275013610377e-17,4.5902816352989115e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Thiago Silva,Fluminense,3.0,Cluster 1,1,-2.4803275013610374e-17,4.590281635298912e-17,8.538461538461538,29.185185185185187,21.14814814814815,2.0384615384615383,0.6296296296296297,1668.0384615384614
Joško Gvardiol,Manchester City,90.0,Cluster 2,2,4.217950412222004,-2.627687439634747,11.0,58.0,44.0,8.0,0.0,3103.0
William Saliba,Arsenal,75.0,Cluster 2,2,3.1159378154246524,-1.7663605209031978,10.0,62.0,21.0,7.0,0.0,2824.0
Virgil van Dijk,Liverpool,40.0,Cluster 2,2,4.231910459968461,-0.2972574235791524,22.0,38.0,56.0,4.0,1.0,3300.0
Josip Šutalo,Ajax,39.44827586206897,Cluster 2,2,2.094696073332538,-2.4267785427974746,6.0,29.0,63.0,4.0,0.0,2607.0
